8253,1/6/1969 00:00:00,PN ,,ALETHEA,,ALLDRIDGE,,,,,F                                  ,S,,,,,Live,,,,,
8254,1/29/1963 00:00:00,PN ,,ALETHIA,,GUIDRY,,,,,F                                  ,M,,,,,Live,,,,,
8255,1/6/1969 00:00:00,HH ,,CLOTILDE,,WOODSUM,,,,,F                                  ,S,,,,,Live,,,,,
8256,7/17/1969 00:00:00,PN ,,BLYTHE,,HINDS,,,,,F                                  ,D,,,,,Live,,,,,
8257,7/17/1969 00:00:00,HH ,,ELOUISE,,BIRDSONG,,,,,F                                  ,D,,,,,Live,,,,,
8258,2/28/1938 00:00:00,PN ,,CLAUDE,,WOODS,,,,,F                                  ,S,,,,,Live,,,,,
8259,10/5/1975 00:00:00,PN ,,CLAUDE,,LINDSEY,,,,,M                                  ,S,,,,,Live,,,,,
8260,3/9/1974 00:00:00,PN ,,CLAUDETTE,,LE DUC,,,,,F                                  ,S,,,,,Live,,,,,
8261,1/11/1959 00:00:00,PN ,,CLAUD,,BALDWIN,,,,,M                                  ,M,,,,,Live,,,,,
8262,2/28/1938 00:00:00,HH ,,CLAUDIO,,CALDWELL,,,,,M                                  ,S,,,,,Live,,,,,
8263,3/9/1962 00:00:00,PN ,,CLAUDIE,,WOODYARD,,,,,F                                  ,D,,,,,Live,,,,,
8264,4/2/1966 00:00:00,PN ,,CLAUDINE,,MOODY,,,,,F                                  ,S,,,,,Live,,,,,
8265,3/31/1939 00:00:00,PN ,,OLAVE,,BRADY,,,,,M                                  ,S,,,,,Live,,,,,
8266,2/14/1958 00:00:00,PN ,,OLIVE,,VANDYKE,,,,,F                                  ,D,,,,,Live,,,,,
8267,6/17/1963 00:00:00,PN ,,CLIVE,,HARDY,,,,,M                                  ,M,,,,,Live,,,,,
8268,3/9/1962 00:00:00,HH ,,SLYVIA,,EDIC,,,,,F                                  ,D,,,,,Live,,,,,
8269,8/13/1970 00:00:00,PN ,,FLAVIA,,DUNCAN,,,,,F                                  ,M,,,,,Live,,,,,
8270,8/13/1970 00:00:00,HH ,,OLEVIA,,ZUCCA,,,,,F                                  ,M,,,,,Live,,,,,
8271,3/16/1972 00:00:00,PN ,,CLEVELAND,,BRUCE,,,,,M                                  ,D,,,,,Live,,,,,
8272,11/22/1956 00:00:00,PN ,,CLOVIS,,PRICE,,,,,M                                  ,S,,,,,Live,,,,,
8273,7/13/1933 00:00:00,PN ,,OLIVIA,,MARCELLUS,,,,,F                                  ,M,,,,,Live,,,,,
8274,1/17/1960 00:00:00,PN ,,OLIVA,,FAUCETT,,,,,F                                  ,D,,,,,Live,,,,,
8275,3/16/1972 00:00:00,HH ,,OLIVER,,GRICE,,,,,M                                  ,D,,,,,Live,,,,,
8276,5/28/1974 00:00:00,PN ,,LLEW,,PLACERES,,,,,M                                  ,S,,,,,Live,,,,,
8277,11/7/1976 00:00:00,PN ,,LLEWELLYN,,NANCE,,,,,M                                  ,S,,,,,Live,,,,,
8278,5/28/1974 00:00:00,HH ,,ALEX,,REECE,,,,,F                                  ,S,,,,,Live,,,,,
8279,7/16/1973 00:00:00,PN ,,ALEX,,KUNCE,,,,,M                                  ,S,,,,,Live,,,,,
8280,11/20/1941 00:00:00,PN ,,ALEXIS,,VANCE,,,,,M                                  ,S,,,,,Live,,,,,
8281,2/3/1956 00:00:00,PN ,,ALEXANDRA,,VINCENT,,,,,F                                  ,D,,,,,Live,,,,,
8282,11/25/1976 00:00:00,PN ,,ALEXIA,,PRICHARD,,,,,F                                  ,S,,,,,Live,,,,,
8283,7/16/1973 00:00:00,HH ,,ALEXANDRIA,,PILCHER,,,,,F                                  ,S,,,,,Live,,,,,
8284,4/10/1979 00:00:00,PN ,,ALEXIS,,WILCHER,,,,,F                                  ,S,,,,,Live,,,,,
8285,10/16/1962 00:00:00,PN ,,ALEXANDER,,CRICHTON,,,,,M                                  ,M,,,,,Live,,,,,
8286,1/9/1963 00:00:00,PN ,,ALEXANDER,,MITCHELL,,,,,F                                  ,D,,,,,Live,,,,,
8287,5/25/1951 00:00:00,PN ,,ALEXA,,LEACH,,,,,F                                  ,S,,,,,Live,,,,,
8288,4/10/1979 00:00:00,HH ,,ALIX,,MITCHINER,,,,,F                                  ,S,,,,,Live,,,,,
8289,8/26/1956 00:00:00,PN ,,ALLY,,BIRCHFIELD,,,,,M                                  ,M,,,,,Live,,,,,
8290,2/10/1976 00:00:00,PN ,,ELSY,,LEECH,,,,,F                                  ,S,,,,,Live,,,,,
8291,7/19/1971 00:00:00,PN ,,CLAYTON,,FULCHER,,,,,M                                  ,M,,,,,Live,,,,,
8292,12/19/1975 00:00:00,PN ,,ELMY,,RITCHIE,,,,,M                                  ,S,,,,,Live,,,,,
8293,2/22/1958 00:00:00,PN ,,LLOYD,,HUTCHINSON,,,,,M                                  ,M,,,,,Live,,,,,
8294,8/26/1956 00:00:00,HH ,,ELAYNE,,WINCH,,,,,F                                  ,M,,,,,Live,,,,,
8295,6/29/1934 00:00:00,PN ,,ELLY,,MANCHESS,,,,,F                                  ,S,,,,,Live,,,,,
8296,7/29/1966 00:00:00,PN ,,ALLYN,,BURCH,,,,,F                                  ,S,,,,,Live,,,,,
8297,7/31/1975 00:00:00,PN ,,ELLYN,,BELCHER,,,,,F                                  ,S,,,,,Live,,,,,
8298,6/3/1969 00:00:00,PN ,,GLAYDS,,RITCHEY,,,,,F                                  ,S,,,,,Live,,,,,
8299,6/29/1934 00:00:00,HH ,,ALLYSON,,LETCHER,,,,,F                                  ,S,,,,,Live,,,,,
8300,11/9/1963 00:00:00,PN ,,ELOY,,CISCHKE,,,,,M                                  ,S,,,,,Live,,,,,
8301,1/23/1936 00:00:00,PN ,,CLAY,,TISCHIO,,,,,M                                  ,M,,,,,Live,,,,,
8302,8/13/1949 00:00:00,PN ,,ALAYNA,,BIRCH,,,,,F                                  ,S,,,,,Live,,,,,
8303,10/14/1938 00:00:00,PN ,,FLOY,,BAUCH,,,,,F                                  ,S,,,,,Live,,,,,
8304,5/23/1959 00:00:00,PN ,,FLOYD,,ROACH,,,,,M                                  ,M,,,,,Live,,,,,
8305,11/9/1963 00:00:00,HH ,,ALOYSIUS,,HOUCHINS,,,,,M                                  ,S,,,,,Live,,,,,
8306,8/18/1944 00:00:00,PN ,,ELIZABET,,COSCHINA,,,,,F                                  ,M,,,,,Live,,,,,
8307,7/22/1964 00:00:00,PN ,,ELIZEBETH,,HATCHER,,,,,F                                  ,S,,,,,Live,,,,,
8308,8/18/1944 00:00:00,HH ,,ELIZA,,MARCINE,,,,,F                                  ,M,,,,,Live,,,,,
8309,5/30/1963 00:00:00,PN ,,ELIZBETH,,EDICK,,,,,F                                  ,M,,,,,Live,,,,,
8310,1/4/1959 00:00:00,PN ,,ELIZABETH,,SHACKLEFORD,,,,,F                                  ,S,,,,,Live,,,,,
8311,4/6/1955 00:00:00,PN ,,ALIZA,,SHACKLEY,,,,,F                                  ,M,,,,,Live,,,,,
8312,6/25/1950 00:00:00,PN ,,ELIZ,,SHACKELFORD,,,,,F                                  ,D,,,,,Live,,,,,
8313,1/18/1966 00:00:00,PN ,,IKE,,BLACKERBY,,,,,M                                  ,S,,,,,Live,,,,,
8314,5/30/1963 00:00:00,HH ,,OK,,BLACKMORE,,,,,F                                  ,M,,,,,Live,,,,,
8315,9/24/1949 00:00:00,PN ,,SKYE,,BLACKCRAFT,,,,,F                                  ,M,,,,,Live,,,,,
8316,4/11/1971 00:00:00,PN ,,TIA,,GLOCK,,,,,F                                  ,D,,,,,Live,,,,,
8317,9/24/1949 00:00:00,HH ,,LIN,,SWICKEY,,,,,F                                  ,M,,,,,Live,,,,,
8318,8/17/1966 00:00:00,PN ,,KIT,,BLACKARD,,,,,F                                  ,S,,,,,Live,,,,,
8319,12/13/1962 00:00:00,PN ,,LIA,,BLACKBURN,,,,,F                                  ,M,,,,,Live,,,,,
8320,9/21/1967 00:00:00,PN ,,KIT,,BUECKER,,,,,M                                  ,S,,,,,Live,,,,,
8321,10/12/1920 00:00:00,PN ,,SID,,BRACKEN,,,,,M                                  ,S,,,,,Live,,,,,
8322,11/7/1947 00:00:00,PN ,,KIP,,BRACKETT,,,,,M                                  ,M,,,,,Live,,,,,
8323,8/17/1966 00:00:00,HH ,,SIU,,HAUCK,,,,,F                                  ,S,,,,,Live,,,,,
8324,6/12/1966 00:00:00,PN ,,PIP,,STOCKHAM,,,,,M                                  ,S,,,,,Live,,,,,
8325,9/29/1950 00:00:00,PN ,,TIM,,STOCKDALE,,,,,M                                  ,D,,,,,Live,,,,,
8326,10/6/1958 00:00:00,PN ,,KIM,,STOCKTON,,,,,M                                  ,D,,,,,Live,,,,,
8327,7/24/1942 00:00:00,PN ,,PIA,,CROCKETT,,,,,F                                  ,S,,,,,Live,,,,,
8328,4/15/1965 00:00:00,PN ,,SIM,,BRICKER,,,,,M                                  ,S,,,,,Live,,,,,
8329,6/12/1966 00:00:00,HH ,,NIK,,BROCK,,,,,M                                  ,S,,,,,Live,,,,,
8330,5/2/1967 00:00:00,PN ,,KIM,,RASCOW,,,,,F                                  ,S,,,,,Live,,,,,
8331,10/20/1951 00:00:00,PN ,,VIC,,RUSCOE,,,,,M                                  ,M,,,,,Live,,,,,
8332,4/13/1964 00:00:00,PN ,,GIL,,CRUCOVSKOY,,,,,M                                  ,M,,,,,Live,,,,,
8333,7/29/1950 00:00:00,PN ,,LIZ,,HOLCOMB,,,,,F                                  ,S,,,,,Live,,,,,
8334,5/2/1967 00:00:00,HH ,,MIN,,RASCOE,,,,,F                                  ,S,,,,,Live,,,,,
8335,9/24/1964 00:00:00,PN ,,VIV,,HADCOCK,,,,,M                                  ,S,,,,,Live,,,,,
8336,7/18/1947 00:00:00,PN ,,MIA,,CISCO,,,,,F                                  ,S,,,,,Live,,,,,
8337,9/24/1964 00:00:00,HH ,,RIA,,ROSCOE,,,,,F                                  ,S,,,,,Live,,,,,
8338,5/1/1961 00:00:00,PN ,,KID,,MACCORMACK,,,,,M                                  ,M,,,,,Live,,,,,
8339,5/1/1961 00:00:00,HH ,,NIA,,WILCOXEN,,,,,F                                  ,M,,,,,Live,,,,,
8340,9/26/1959 00:00:00,PN ,,KIA,,FALCONER,,,,,F                                  ,D,,,,,Live,,,,,
8341,9/26/1959 00:00:00,HH ,,GIA,,RASCO,,,,,F                                  ,D,,,,,Live,,,,,
8342,3/5/1940 00:00:00,PN ,,JIM,,HANCOCK,,,,,M                                  ,S,,,,,Live,,,,,
8343,3/5/1940 00:00:00,HH ,,JIN,,SILCOCK,,,,,F                                  ,S,,,,,Live,,,,,
8344,4/18/1967 00:00:00,PN ,,DIA,,MC CRARY,,,,,F                                  ,S,,,,,Live,,,,,
8345,11/11/1961 00:00:00,PN ,,GIB,,HUFCUT,,,,,M                                  ,M,,,,,Live,,,,,
8346,4/18/1967 00:00:00,HH ,,RIK,,MARCUM,,,,,M                                  ,S,,,,,Live,,,,,
8347,11/10/1963 00:00:00,PN ,,MI,,LUYCX,,,,,F                                  ,S,,,,,Live,,,,,
8348,1/14/1975 00:00:00,PN ,,JI,,STACY,,,,,F                                  ,S,,,,,Live,,,,,
8349,3/22/1961 00:00:00,PN ,,LI,,MUNCY,,,,,F                                  ,S,,,,,Live,,,,,
8350,3/22/1958 00:00:00,PN ,,VI,,COBB,,,,,F                                  ,S,,,,,Live,,,,,
8351,3/27/1939 00:00:00,PN ,,DINA,,HUBBS,,,,,F                                  ,M,,,,,Live,,,,,
8352,11/10/1963 00:00:00,HH ,,JINA,,KIMBALL,,,,,F                                  ,S,,,,,Live,,,,,
8353,2/6/1944 00:00:00,PN ,,DINAH,,LOMBARD,,,,,F                                  ,S,,,,,Live,,,,,
8354,8/23/1965 00:00:00,PN ,,MICAH,,KELBAUGH,,,,,F                                  ,D,,,,,Live,,,,,
8355,5/25/1942 00:00:00,PN ,,GINA,,GRABANS,,,,,F                                  ,M,,,,,Live,,,,,
8356,8/20/1968 00:00:00,PN ,,PILAR,,HUBBARD,,,,,F                                  ,D,,,,,Live,,,,,
8357,1/1/1961 00:00:00,PN ,,MICAH,,GRUBBS,,,,,M                                  ,D,,,,,Live,,,,,
8358,2/6/1944 00:00:00,HH ,,MILAGROS,,CHUBB,,,,,F                                  ,S,,,,,Live,,,,,
8359,10/16/1930 00:00:00,PN ,,MILAN,,LAMBERTON,,,,,M                                  ,M,,,,,Live,,,,,
8360,11/2/1947 00:00:00,PN ,,MICA,,LAMBERSON,,,,,F                                  ,D,,,,,Live,,,,,
8361,7/3/1952 00:00:00,PN ,,MILAGRO,,GADBERRY,,,,,F                                  ,S,,,,,Live,,,,,
8362,11/5/1941 00:00:00,PN ,,MILA,,QUEBEDEAUX,,,,,F                                  ,S,,,,,Live,,,,,
8363,10/16/1930 00:00:00,HH ,,MIKAELA,,FURBE,,,,,F                                  ,M,,,,,Live,,,,,
8364,10/8/1962 00:00:00,PN ,,AIDAN,,LAMBERT,,,,,M                                  ,S,,,,,Live,,,,,
8365,10/26/1965 00:00:00,PN ,,RICARDO,,KERBEY,,,,,M                                  ,M,,,,,Live,,,,,
8366,5/7/1968 00:00:00,PN ,,TISA,,FURBER,,,,,F                                  ,D,,,,,Live,,,,,
8367,3/6/1967 00:00:00,PN ,,MIKA,,FARBER,,,,,F                                  ,S,,,,,Live,,,,,
8368,10/8/1962 00:00:00,HH ,,NITA,,DEWBERRY,,,,,F                                  ,S,,,,,Live,,,,,
8369,12/20/1924 00:00:00,PN ,,VIDA,,DILBECK,,,,,F                                  ,S,,,,,Live,,,,,
8370,12/20/1924 00:00:00,HH ,,VINA,,BARBER,,,,,F                                  ,S,,,,,Live,,,,,
8371,6/10/1965 00:00:00,PN ,,NINA,,DOLBERRY,,,,,F                                  ,M,,,,,Live,,,,,
8372,7/15/1941 00:00:00,PN ,,NILA,,TALBERT,,,,,F                                  ,M,,,,,Live,,,,,
8373,5/16/1950 00:00:00,PN ,,RIMA,,BIBBER,,,,,F                                  ,M,,,,,Live,,,,,
8374,6/10/1965 00:00:00,HH ,,RINA,,BARBEE,,,,,F                                  ,M,,,,,Live,,,,,
8375,6/18/1957 00:00:00,PN ,,VITA,,WIMBERLY,,,,,F                                  ,D,,,,,Live,,,,,
8376,6/18/1957 00:00:00,HH ,,SIMA,,GILBERT,,,,,F                                  ,D,,,,,Live,,,,,
8377,11/29/1949 00:00:00,PN ,,SILAS,,KARBEL,,,,,M                                  ,S,,,,,Live,,,,,
8378,5/21/1962 00:00:00,PN ,,VIVAN,,TOLBERT,,,,,F                                  ,S,,,,,Live,,,,,
8379,6/23/1940 00:00:00,PN ,,SINA,,PROBERT,,,,,F                                  ,D,,,,,Live,,,,,
8380,4/21/1945 00:00:00,PN ,,HILARIA,,GIEBER,,,,,F                                  ,S,,,,,Live,,,,,
8381,11/29/1949 00:00:00,HH ,,HILARIO,,TIBBETTS,,,,,M                                  ,S,,,,,Live,,,,,
8382,12/31/1961 00:00:00,PN ,,TIFANY,,KIBBE,,,,,F                                  ,D,,,,,Live,,,,,
8383,6/16/1963 00:00:00,PN ,,ZINA,,KIMBEL,,,,,F                                  ,M,,,,,Live,,,,,
8384,12/31/1961 00:00:00,HH ,,CIRA,,CORBEIL,,,,,F                                  ,D,,,,,Live,,,,,
8385,11/5/1951 00:00:00,PN ,,HILARY,,CORBETT,,,,,F                                  ,S,,,,,Live,,,,,
8386,3/12/1950 00:00:00,PN ,,GITA,,CUTBILL,,,,,F                                  ,M,,,,,Live,,,,,
8387,11/15/1973 00:00:00,PN ,,TINA,,DOUBLIN,,,,,F                                  ,S,,,,,Live,,,,,
8388,11/5/1951 00:00:00,HH ,,HILARY,,GAMBLE,,,,,M                                  ,S,,,,,Live,,,,,
8389,7/26/1955 00:00:00,PN ,,MIRANDA,,WELBORN,,,,,F                                  ,M,,,,,Live,,,,,
8390,7/26/1955 00:00:00,HH ,,RIVA,,SLOBODIEN,,,,,F                                  ,M,,,,,Live,,,,,
8391,11/5/1975 00:00:00,PN ,,VIVA,,TRABOLD,,,,,F                                  ,S,,,,,Live,,,,,
8392,11/5/1975 00:00:00,HH ,,RITA,,WESBROOK,,,,,F                                  ,S,,,,,Live,,,,,
8393,3/8/1955 00:00:00,PN ,,LIDA,,HOBBS,,,,,F                                  ,S,,,,,Live,,,,,
8394,5/28/1934 00:00:00,PN ,,LILA,,COMBS,,,,,F                                  ,S,,,,,Live,,,,,
8395,3/8/1955 00:00:00,HH ,,RISA,,MIMBS,,,,,F                                  ,S,,,,,Live,,,,,
8396,12/14/1950 00:00:00,PN ,,LINA,,WARBURTON,,,,,F                                  ,M,,,,,Live,,,,,
8397,9/8/1932 00:00:00,PN ,,KIRA,,MARBUT,,,,,F                                  ,S,,,,,Live,,,,,
8398,12/10/1976 00:00:00,PN ,,KINA,,ORSBURN,,,,,F                                  ,S,,,,,Live,,,,,
8399,3/25/1946 00:00:00,PN ,,HIRAM,,WILBUR,,,,,M                                  ,S,,,,,Live,,,,,
8400,9/8/1947 00:00:00,PN ,,HISAKO,,FURBY,,,,,F                                  ,D,,,,,Live,,,,,
8401,12/14/1950 00:00:00,HH ,,RICARDA,,KERBY,,,,,F                                  ,M,,,,,Live,,,,,
8402,5/1/1949 00:00:00,PN ,,LISA,,DENBY,,,,,F                                  ,D,,,,,Live,,,,,
8403,11/13/1948 00:00:00,PN ,,LISABETH,,KIRBY,,,,,F                                  ,S,,,,,Live,,,,,
8404,10/13/1931 00:00:00,PN ,,LISANDRA,,VEGA,,,,,F                                  ,M,,,,,Live,,,,,
8405,5/1/1949 00:00:00,HH ,,MIRA,,LUNA,,,,,F                                  ,D,,,,,Live,,,,,
8406,7/8/1954 00:00:00,PN ,,MINA,,HODA,,,,,F                                  ,D,,,,,Live,,,,,
8407,7/8/1954 00:00:00,HH ,,LITA,,DANA,,,,,F                                  ,D,,,,,Live,,,,,
8408,9/18/1961 00:00:00,PN ,,MICAELA,,SHEA,,,,,F                                  ,D,,,,,Live,,,,,
8409,9/18/1961 00:00:00,HH ,,LIZA,,CANAAN,,,,,F                                  ,D,,,,,Live,,,,,
8410,11/10/1958 00:00:00,PN ,,LIZABETH,,LARABEE,,,,,F                                  ,M,,,,,Live,,,,,
8411,6/9/1925 00:00:00,PN ,,NIDA,,WOMACK,,,,,F                                  ,M,,,,,Live,,,,,
8412,9/15/1952 00:00:00,PN ,,WILBUR,,BROADHEAD,,,,,M                                  ,M,,,,,Live,,,,,
8413,11/24/1954 00:00:00,PN ,,WILBURN,,NERAD,,,,,M                                  ,S,,,,,Live,,,,,
8414,9/9/1977 00:00:00,PN ,,WILBERT,,STRADLEY,,,,,M                                  ,S,,,,,Live,,,,,
8415,11/10/1958 00:00:00,HH ,,WILBER,,SCHAEFFER,,,,,M                                  ,M,,,,,Live,,,,,
8416,4/3/1939 00:00:00,PN ,,GILBERTO,,DONAHUE,,,,,M                                  ,S,,,,,Live,,,,,
8417,5/1/1976 00:00:00,PN ,,GILBERT,,BELAIR,,,,,M                                  ,S,,,,,Live,,,,,
8418,4/3/1939 00:00:00,HH ,,GILBERTE,,SPEAKE,,,,,F                                  ,S,,,,,Live,,,,,
8419,8/22/1950 00:00:00,PN ,,KIMBERLY,,PLEAK,,,,,F                                  ,M,,,,,Live,,,,,
8420,8/22/1950 00:00:00,HH ,,LIBBIE,,ABSALOM,,,,,F                                  ,M,,,,,Live,,,,,
8421,10/15/1952 00:00:00,PN ,,LIBBY,,HARALSON,,,,,F                                  ,M,,,,,Live,,,,,
8422,10/15/1952 00:00:00,HH ,,KIMBERLI,,REGALI,,,,,F                                  ,M,,,,,Live,,,,,
8423,4/17/1954 00:00:00,PN ,,KIRBY,,SCHALL,,,,,M                                  ,M,,,,,Live,,,,,
8424,4/17/1954 00:00:00,HH ,,KIMBERLEY,,ONEAL,,,,,F                                  ,M,,,,,Live,,,,,
8425,2/14/1950 00:00:00,PN ,,KIMBERY,,OSWALD,,,,,F                                  ,S,,,,,Live,,,,,
8426,2/8/1950 00:00:00,PN ,,KIRBY,,ST AMAND,,,,,F                                  ,S,,,,,Live,,,,,
8427,9/12/1948 00:00:00,PN ,,KIMBERLY,,MCDANIEL,,,,,M                                  ,M,,,,,Live,,,,,
8428,3/4/1957 00:00:00,PN ,,KIMBER,,COWAN,,,,,F                                  ,M,,,,,Live,,,,,
8429,7/14/1954 00:00:00,PN ,,KIMBERLEE,,INMAN,,,,,F                                  ,S,,,,,Live,,,,,
8430,2/14/1950 00:00:00,HH ,,KIMBERELY,,BRYANT,,,,,F                                  ,S,,,,,Live,,,,,
8431,10/4/1950 00:00:00,PN ,,SIOBHAN,,STRANGE,,,,,F                                  ,M,,,,,Live,,,,,
8432,10/4/1950 00:00:00,HH ,,KIMBRA,,BOYANTON,,,,,F                                  ,M,,,,,Live,,,,,
8433,9/10/1954 00:00:00,PN ,,KIMBERLEY,,NOLAND,,,,,M                                  ,M,,,,,Live,,,,,
8434,12/26/1948 00:00:00,PN ,,LISBETH,,BENANE,,,,,F                                  ,S,,,,,Live,,,,,
8435,12/16/1964 00:00:00,PN ,,KIMBERLIE,,MAHAN,,,,,F                                  ,D,,,,,Live,,,,,
8436,2/5/1971 00:00:00,PN ,,LIZBETH,,BUMANN,,,,,F                                  ,S,,,,,Live,,,,,
8437,5/6/1978 00:00:00,PN ,,LINCOLN,,HOGAN,,,,,M                                  ,S,,,,,Live,,,,,
8438,9/10/1954 00:00:00,HH ,,MITCHEL,,DOLAN,,,,,M                                  ,M,,,,,Live,,,,,
8439,7/19/1968 00:00:00,PN ,,VINCENT,,HOWARD,,,,,M                                  ,D,,,,,Live,,,,,
8440,7/20/1971 00:00:00,PN ,,VINCENZA,,SWEARINGEN,,,,,F                                  ,D,,,,,Live,,,,,
8441,7/19/1968 00:00:00,HH ,,MITCHELL,,EDWARDS,,,,,F                                  ,D,,,,,Live,,,,,
8442,2/14/1974 00:00:00,PN ,,VINCENZO,,SPEARS,,,,,M                                  ,S,,,,,Live,,,,,
8443,3/8/1956 00:00:00,PN ,,MITCHELL,,SEWARD,,,,,M                                  ,S,,,,,Live,,,,,
8444,5/15/1963 00:00:00,PN ,,MITCH,,LEBARON,,,,,M                                  ,M,,,,,Live,,,,,
8445,2/14/1974 00:00:00,HH ,,VINCE,,ZALAR,,,,,M                                  ,S,,,,,Live,,,,,
8446,5/6/1975 00:00:00,PN ,,SINCLAIR,,JONAS,,,,,M                                  ,S,,,,,Live,,,,,
8447,8/3/1922 00:00:00,PN ,,HIEDI,,LUCAS,,,,,F                                  ,D,,,,,Live,,,,,
8448,4/29/1949 00:00:00,PN ,,HILDA,,PLEASANT,,,,,F                                  ,M,,,,,Live,,,,,
8449,12/13/1943 00:00:00,PN ,,HILDE,,CREASY,,,,,F                                  ,S,,,,,Live,,,,,
8450,10/15/1958 00:00:00,PN ,,HILDEGARDE,,GLEASON,,,,,F                                  ,D,,,,,Live,,,,,
8451,5/6/1975 00:00:00,HH ,,HILDEGARD,,ACHATZ,,,,,F                                  ,S,,,,,Live,,,,,
8452,11/14/1968 00:00:00,PN ,,HILDRED,,SWEATMAN,,,,,F                                  ,S,,,,,Live,,,,,
8453,12/27/1964 00:00:00,PN ,,KINDRA,,PALATSKY,,,,,F                                  ,S,,,,,Live,,,,,
8454,11/14/1968 00:00:00,HH ,,TILDA,,FUGATT,,,,,F                                  ,S,,,,,Live,,,,,
8455,1/4/1943 00:00:00,PN ,,GILDA,,ATWATER,,,,,F                                  ,S,,,,,Live,,,,,
8456,12/21/1964 00:00:00,PN ,,MILDRED,,CHOATE,,,,,F                                  ,D,,,,,Live,,,,,
8457,4/15/1941 00:00:00,PN ,,MILDA,,CHEATHAM,,,,,F                                  ,D,,,,,Live,,,,,
8458,10/5/1964 00:00:00,PN ,,LINDA,,ALBAUGH,,,,,F                                  ,S,,,,,Live,,,,,
8459,4/23/1945 00:00:00,PN ,,DIEDRE,,MCLAUGHLIN,,,,,F                                  ,S,,,,,Live,,,,,
8460,1/4/1943 00:00:00,HH ,,NILDA,,DUNAWAY,,,,,F                                  ,S,,,,,Live,,,,,
8461,9/2/1947 00:00:00,PN ,,LINDSEY,,ALDAY,,,,,F                                  ,M,,,,,Live,,,,,
8462,12/21/1978 00:00:00,PN ,,LINDSEY,,VAN LOON,,,,,M                                  ,S,,,,,Live,,,,,
8463,9/2/1947 00:00:00,HH ,,BIRDIE,,VAN NIEROP,,,,,F                                  ,M,,,,,Live,,,,,
8464,1/13/1937 00:00:00,PN ,,LINDSAY,,MAY,,,,,F                                  ,D,,,,,Live,,,,,
8465,1/30/1958 00:00:00,PN ,,LINDSAY,,COY,,,,,M                                  ,M,,,,,Live,,,,,
8466,1/13/1937 00:00:00,HH ,,DIEDRA,,GOW,,,,,F                                  ,D,,,,,Live,,,,,
8467,7/30/1932 00:00:00,PN ,,WILDA,,FOX,,,,,F                                  ,S,,,,,Live,,,,,
8468,7/30/1932 00:00:00,HH ,,MINDA,,RAY,,,,,F                                  ,S,,,,,Live,,,,,
8469,1/10/1979 00:00:00,PN ,,MINDI,,COX,,,,,F                                  ,S,,,,,Live,,,,,
8470,9/12/1952 00:00:00,PN ,,MINDY,,LEE,,,,,F                                  ,S,,,,,Live,,,,,
